Sexe,Statut_marital,Niveau_education,Type_emploi,Age,Annees_emploi,Revenu_annuel,Note_credit,Ratio_dette_revenu,Montant_pret_demande,Nombre_prets_en_cours,Solvable
Homme,Célibataire,Secondaire,CDI,38,30.77,26154.18,504,0.23,29382.88,4,1
Autre,Marié,Doctorat,CDI,44,33.59,75709.57,705,0.97,33668.16,3,1
Femme,Veuf,Secondaire,Indépendant,53,12.5,49839.2,439,0.22,9145.88,3,0
Homme,Divorcé,Bachelier,CDD,45,19.08,38116.26,542,0.68,11274.45,1,1
Femme,Marié,Sans diplôme,CDI,21,27.03,70345.9,625,0.47,6459.92,0,1
Autre,Marié,Bachelier,CDI,43,27.92,118796.57,385,0.72,12308.39,4,0
Homme,Divorcé,Master,Sans emploi,25,12.01,94544.5,418,0.1,15015.99,2,0
Homme,Veuf,Bachelier,Indépendant,22,3.71,41378.21,770,0.95,36081.64,3,0
Autre,Divorcé,Bachelier,Sans emploi,22,15.64,65168.94,407,0.2,7934.66,2,1
Homme,Divorcé,Doctorat,Sans emploi,27,13.79,54667.76,774,0.22,35933.29,3,0
Homme,Marié,Secondaire,CDD,22,3.58,67800.67,558,0.55,23244.28,4,1
Homme,Célibataire,Sans diplôme,Sans emploi,51,15.73,86070.38,796,0.35,11432.92,0,1
Homme,Veuf,Bachelier,Indépendant,67,22.85,96651.58,376,0.44,49204.81,2,1
Homme,Marié,Bachelier,Indépendant,28,39.85,115136.17,417,0.04,27692.11,1,1
Homme,Veuf,Secondaire,CDI,41,30.28,42456.39,683,0.23,18238.29,4,0
Autre,Marié,Master,CDD,66,13.22,45668.08,624,0.77,7497.73,2,0
Homme,Divorcé,Master,CDI,50,16.63,12461.38,506,0.9,19144.47,3,1
Autre,Veuf,Doctorat,Sans emploi,31,4.73,42962.82,464,0.23,32560.53,0,0
Femme,Marié,Secondaire,CDI,39,32.19,113588.0,477,0.77,16059.78,3,1
Femme,Veuf,Bachelier,Indépendant,46,22.63,101673.95,764,0.03,30615.87,0,0
Femme,Célibataire,Master,Indépendant,41,18.93,23088.51,379,0.04,17522.52,3,1
Homme,Célibataire,Master,Sans emploi,66,18.19,116110.39,715,0.39,7000.45,2,1
Femme,Veuf,Sans diplôme,CDI,23,9.3,107670.18,364,0.15,23592.48,1,1
Femme,Veuf,Sans diplôme,Indépendant,20,10.95,104390.31,827,0.17,21047.91,3,1
Femme,Veuf,Doctorat,Indépendant,18,12.94,111638.03,750,0.63,16065.06,2,1
Homme,Veuf,Master,CDD,27,0.07,68738.66,486,0.86,28803.73,2,0
Femme,Marié,Master,CDI,25,21.66,116805.24,377,0.78,22533.03,3,0
Autre,Divorcé,Secondaire,CDI,47,39.6,12881.67,734,0.34,47747.55,1,1
Homme,Marié,Sans diplôme,CDD,39,13.13,71867.29,423,0.88,32955.31,0,1
Femme,Célibataire,Sans diplôme,Indépendant,34,19.11,51040.45,653,0.84,21116.94,2,0
Autre,Célibataire,Master,CDD,32,35.19,72047.38,416,0.52,14645.15,2,1
Homme,Marié,Doctorat,CDD,37,21.38,108820.2,527,0.48,34930.57,2,1
Autre,Célibataire,Master,CDD,55,23.81,59430.19,615,0.06,46405.79,2,1
Homme,Marié,Bachelier,Indépendant,44,14.33,35019.73,703,0.15,33220.09,3,1
Femme,Célibataire,Sans diplôme,Sans emploi,30,19.02,49461.41,304,0.09,42322.65,0,1
Autre,Divorcé,Sans diplôme,Sans emploi,33,20.75,59030.5,503,0.53,35790.29,3,1
Autre,Veuf,Secondaire,Sans emploi,37,30.5,60042.71,478,0.68,47623.17,1,0
Femme,Célibataire,Doctorat,CDD,36,34.92,47161.62,475,0.62,23324.4,0,1
Homme,Marié,Secondaire,Sans emploi,60,26.55,60891.12,760,0.87,39772.64,4,0
Femme,Veuf,Sans diplôme,CDI,20,17.99,48117.16,840,0.66,27913.37,1,0
Femme,Marié,Doctorat,Sans emploi,34,33.79,43064.28,524,0.83,7227.12,3,1
Homme,Veuf,Master,Indépendant,29,8.92,104735.87,762,0.14,5596.8,2,1
Autre,Veuf,Master,CDD,53,14.05,102968.02,529,0.17,24130.56,3,1
Autre,Veuf,Doctorat,CDD,27,11.53,41242.11,740,0.92,34698.85,3,1
Autre,Divorcé,Bachelier,Sans emploi,27,17.08,108131.58,612,0.35,43847.26,3,1
Autre,Célibataire,Master,CDD,48,29.78,56602.67,839,0.22,6468.04,1,0
Femme,Marié,Secondaire,CDD,40,6.71,47956.29,590,0.91,47382.98,4,0
Autre,Célibataire,Master,CDD,60,35.4,33583.34,612,0.97,44814.22,2,0
Autre,Divorcé,Master,CDD,38,22.38,88210.47,580,0.64,44312.77,2,1
Autre,Marié,Bachelier,CDI,59,16.89,13205.92,470,0.39,33920.14,3,0
Autre,Divorcé,Master,Indépendant,37,5.25,76090.73,502,0.69,25999.61,3,1
Autre,Veuf,Secondaire,CDI,22,24.55,13077.72,793,0.02,41179.73,3,0
Homme,Marié,Secondaire,Sans emploi,64,12.7,42156.01,824,0.14,14277.84,3,1
Femme,Célibataire,Secondaire,Sans emploi,33,29.23,117030.28,304,0.37,18153.12,1,1
Autre,Veuf,Sans diplôme,CDD,51,39.05,75101.84,400,0.83,12771.2,1,1
Autre,Marié,Master,CDD,18,7.45,42231.49,393,0.3,49909.18,0,0
Femme,Veuf,Master,Sans emploi,65,1.47,41716.61,630,0.06,13648.16,0,0
Autre,Veuf,Doctorat,CDD,33,8.11,23793.39,833,0.38,36533.79,1,0
Femme,Divorcé,Bachelier,CDI,31,22.59,46388.8,779,0.24,25793.25,3,1
Homme,Marié,Sans diplôme,CDD,27,5.24,59535.66,598,0.06,6498.29,2,1
Autre,Divorcé,Master,CDI,67,14.84,88509.22,451,0.4,8656.86,1,1
Autre,Marié,Secondaire,Indépendant,60,7.79,72331.34,683,0.35,46824.28,1,0
Homme,Divorcé,Sans diplôme,CDI,28,29.14,14598.1,541,0.73,38504.42,0,0
Autre,Célibataire,Sans diplôme,Sans emploi,67,0.13,48058.88,354,0.06,29570.44,4,1
Homme,Marié,Secondaire,Sans emploi,57,1.61,15609.85,404,0.38,14425.92,2,1
Homme,Célibataire,Doctorat,Sans emploi,52,29.27,113263.77,737,0.34,5286.03,2,1
Autre,Marié,Master,CDI,57,38.74,56803.3,526,0.65,39769.25,4,1
Homme,Marié,Bachelier,Indépendant,66,23.62,75870.59,454,0.89,19053.44,0,0
Autre,Célibataire,Doctorat,Sans emploi,62,2.97,90331.16,430,0.14,14631.83,2,1
Autre,Divorcé,Bachelier,CDD,62,31.9,10392.8,398,0.82,12754.02,0,1
Autre,Célibataire,Bachelier,CDI,60,1.07,21617.86,397,0.61,41395.84,0,1
Homme,Célibataire,Master,Indépendant,19,8.0,68982.2,471,0.03,32928.48,3,1
Homme,Marié,Sans diplôme,CDI,26,18.96,76131.28,768,0.77,33858.54,4,1
Homme,Divorcé,Secondaire,CDI,18,23.94,89673.73,585,0.54,46644.68,4,1
Femme,Veuf,Bachelier,Indépendant,29,16.09,22622.81,762,0.8,45130.96,3,1
Autre,Divorcé,Doctorat,CDI,44,25.53,49298.19,502,0.41,35620.76,0,1
Homme,Célibataire,Master,Sans emploi,48,20.89,92145.96,504,0.67,48246.21,0,0
Femme,Veuf,Master,Indépendant,61,36.29,36310.39,774,0.2,15303.25,2,1
Autre,Célibataire,Doctorat,CDI,60,39.98,116422.26,609,0.19,5882.1,4,1
Autre,Veuf,Bachelier,CDD,37,29.21,117189.67,314,0.34,46476.81,2,1
Autre,Divorcé,Bachelier,Indépendant,39,3.49,63405.67,458,0.52,16894.76,2,0
Femme,Célibataire,Bachelier,CDD,65,13.2,24331.88,541,0.72,48789.63,4,0
Homme,Marié,Doctorat,CDI,19,20.87,12044.25,369,0.67,15081.76,2,1
Homme,Veuf,Bachelier,CDD,36,10.49,23004.35,724,0.82,17530.68,4,1
Homme,Veuf,Doctorat,Indépendant,46,34.95,51406.16,541,0.43,45925.24,0,1
Homme,Veuf,Master,CDI,29,7.86,47191.12,444,0.91,41569.48,0,0
Autre,Veuf,Doctorat,Indépendant,67,8.18,95008.41,558,0.11,9382.61,1,1
Autre,Veuf,Secondaire,CDI,57,36.2,72673.88,616,0.19,30896.21,2,0
Homme,Marié,Sans diplôme,Sans emploi,27,26.77,58267.33,351,0.68,12098.82,2,0
Homme,Célibataire,Sans diplôme,Sans emploi,42,24.67,25525.67,626,0.25,8225.22,4,1
Homme,Marié,Secondaire,Sans emploi,22,28.27,25936.71,321,0.16,32557.18,2,1
Femme,Divorcé,Doctorat,CDD,44,8.62,93728.17,733,0.89,8512.36,1,1
Autre,Célibataire,Sans diplôme,CDD,61,23.45,113264.95,601,0.07,26235.27,3,1
Homme,Marié,Secondaire,Sans emploi,39,27.57,38257.9,563,0.99,32653.07,3,1
Homme,Célibataire,Bachelier,Indépendant,32,10.25,68151.06,769,0.86,47259.62,0,0
Femme,Divorcé,Secondaire,Indépendant,47,33.61,100187.12,411,0.87,46457.25,1,1
Homme,Marié,Sans diplôme,CDI,19,22.18,98759.05,802,0.63,32335.59,0,1
Autre,Divorcé,Doctorat,Indépendant,32,20.1,80714.32,744,0.22,27622.06,4,1
Femme,Veuf,Doctorat,Indépendant,18,34.46,14722.23,560,0.8,34267.6,3,0
Femme,Célibataire,Doctorat,CDD,33,7.49,27374.23,413,0.05,46623.45,4,0
Femme,Célibataire,Sans diplôme,Indépendant,51,0.77,102451.43,511,0.58,49592.32,1,1
Homme,Marié,Bachelier,Indépendant,50,30.82,99317.83,745,0.44,6489.06,0,1
Homme,Divorcé,Doctorat,CDI,69,8.86,83326.07,524,0.75,48629.84,0,1
Homme,Célibataire,Master,Sans emploi,55,4.54,73494.08,353,0.02,41143.37,2,1
Femme,Veuf,Bachelier,Sans emploi,23,10.13,39342.7,470,0.39,8375.22,1,1
Femme,Veuf,Secondaire,CDD,48,6.3,82966.88,435,0.48,41007.55,1,0
Autre,Divorcé,Master,CDD,59,10.6,21817.3,512,0.15,34818.48,0,0
Femme,Divorcé,Bachelier,CDI,65,3.56,114904.37,590,0.41,45758.21,4,1
Homme,Marié,Sans diplôme,CDD,68,19.25,73133.23,838,0.91,25600.88,2,0
Homme,Divorcé,Master,CDI,27,27.77,18078.98,595,0.47,27650.23,0,1
Femme,Veuf,Bachelier,Sans emploi,25,36.25,104579.71,683,0.25,42679.1,3,0
Autre,Veuf,Bachelier,Sans emploi,48,29.82,72189.44,410,0.53,26770.45,2,1
Femme,Célibataire,Bachelier,CDI,39,4.35,34814.86,356,0.06,28686.56,2,1
Femme,Veuf,Bachelier,Sans emploi,48,21.41,15010.06,712,0.29,15996.15,0,1
Femme,Veuf,Doctorat,Indépendant,59,3.17,118301.24,678,0.78,19869.01,3,1
Homme,Célibataire,Master,Indépendant,26,22.91,64469.63,666,0.64,17944.18,2,1
Homme,Marié,Bachelier,Sans emploi,19,21.13,34642.92,526,0.02,7054.84,4,0
Homme,Divorcé,Secondaire,CDI,63,0.26,73355.51,435,0.57,31236.52,0,1
Femme,Célibataire,Bachelier,Indépendant,39,30.15,31252.06,471,0.22,42919.32,4,1
Autre,Célibataire,Doctorat,Indépendant,26,25.66,38910.62,492,0.98,39664.07,4,0
Femme,Marié,Master,Sans emploi,63,18.15,111735.83,605,0.78,16096.35,0,0
Femme,Divorcé,Master,CDD,67,36.76,43461.07,756,0.13,31383.94,4,1
Homme,Divorcé,Bachelier,CDD,18,18.1,68135.08,768,0.39,27069.38,1,1
Homme,Divorcé,Bachelier,Sans emploi,45,18.44,42216.95,813,0.49,41744.93,3,1
Femme,Célibataire,Secondaire,Sans emploi,68,6.51,55857.27,808,0.18,20906.6,3,1
Autre,Veuf,Master,Indépendant,66,26.6,74965.7,471,0.7,6646.86,4,1
Homme,Veuf,Master,CDI,43,6.74,93815.69,614,0.84,44927.41,3,0
Autre,Célibataire,Master,CDI,47,12.39,10887.92,821,0.0,35162.62,2,0
Autre,Veuf,Sans diplôme,Indépendant,25,27.97,33525.81,389,0.13,13183.63,2,1
Femme,Marié,Master,Indépendant,44,12.24,98342.44,775,0.28,14256.69,3,0
Femme,Veuf,Master,CDI,49,24.11,39113.68,654,0.98,22918.99,1,0
Femme,Célibataire,Secondaire,CDD,32,39.07,22363.98,345,0.4,26437.47,1,1
Autre,Veuf,Secondaire,CDD,37,1.72,46522.54,500,0.17,19863.51,0,0
Homme,Marié,Doctorat,CDI,26,15.77,84788.85,425,0.12,28205.17,0,0
Homme,Veuf,Secondaire,Sans emploi,57,35.99,81737.11,308,0.9,45160.26,2,1
Femme,Veuf,Master,Sans emploi,47,23.59,103395.34,595,0.81,33348.23,3,1
Homme,Marié,Master,Indépendant,41,37.67,113484.1,306,0.62,21628.81,4,0
Autre,Divorcé,Master,CDD,31,38.02,84032.53,528,0.54,43719.94,0,1
Autre,Marié,Secondaire,Sans emploi,58,33.1,104624.59,602,0.78,36307.54,3,1
Homme,Veuf,Bachelier,Sans emploi,19,13.92,38895.58,540,0.32,31717.57,1,1
Autre,Divorcé,Sans diplôme,Sans emploi,43,1.07,58677.95,307,0.64,28243.32,3,0
Autre,Divorcé,Doctorat,CDI,42,38.15,44967.86,685,0.74,8952.67,1,1
Autre,Célibataire,Bachelier,Indépendant,48,8.16,94622.31,584,0.58,31682.08,0,0
Femme,Célibataire,Sans diplôme,Indépendant,59,9.7,92286.1,572,0.17,22921.67,2,1
Femme,Marié,Secondaire,CDD,34,26.64,54145.31,457,0.99,29764.81,1,1
Homme,Marié,Doctorat,Sans emploi,29,28.09,83312.61,653,0.81,10582.93,3,1
Homme,Marié,Doctorat,Indépendant,57,38.36,11436.37,429,0.49,40377.99,0,1
Homme,Veuf,Secondaire,CDI,25,23.81,109723.43,798,0.62,28038.02,4,1
Autre,Marié,Bachelier,CDI,56,17.61,56510.51,474,0.76,42391.88,0,1
Autre,Célibataire,Sans diplôme,CDI,39,4.98,109692.15,669,0.46,14306.55,0,0
Femme,Marié,Master,Sans emploi,42,34.3,15009.04,689,0.74,47213.79,2,1
Femme,Divorcé,Master,CDI,55,1.77,19191.0,705,0.77,31018.31,2,1
Homme,Célibataire,Sans diplôme,Sans emploi,61,34.09,64987.14,699,0.46,8405.86,1,1
Homme,Divorcé,Master,Indépendant,54,13.45,34432.04,610,0.19,19117.3,1,1
Autre,Veuf,Bachelier,CDI,50,36.32,90319.53,601,0.6,49220.82,1,1
Femme,Marié,Secondaire,Sans emploi,27,34.02,85117.69,769,0.55,32600.04,4,1
Femme,Célibataire,Master,CDD,67,27.96,79373.43,342,0.5,23888.62,2,1
Autre,Divorcé,Secondaire,Indépendant,58,0.85,102509.27,450,0.06,46206.11,3,1
Homme,Célibataire,Master,Indépendant,34,27.67,103123.82,332,0.78,21257.81,2,0
Femme,Divorcé,Master,Sans emploi,53,22.47,39780.94,660,0.54,38621.56,3,1
Femme,Célibataire,Doctorat,Sans emploi,21,10.09,34295.05,520,0.43,11581.93,4,0
Femme,Divorcé,Master,Indépendant,57,23.07,84522.0,603,0.81,36372.19,4,1
Femme,Veuf,Doctorat,Sans emploi,55,33.98,22023.98,677,0.2,27114.79,3,1
Femme,Divorcé,Sans diplôme,CDI,21,8.43,32247.1,703,0.27,24108.32,3,0
Autre,Divorcé,Master,Sans emploi,58,13.59,107889.82,437,0.64,15422.41,1,0
Autre,Célibataire,Master,Indépendant,53,3.53,80663.05,324,0.39,49435.51,4,1
Autre,Divorcé,Master,CDI,19,31.13,31614.48,605,0.3,10562.87,2,1
Homme,Divorcé,Doctorat,Sans emploi,21,3.97,85318.85,736,0.25,14157.14,3,1
Femme,Marié,Master,CDI,29,36.48,30535.72,570,0.49,21983.51,1,1
Autre,Divorcé,Bachelier,Sans emploi,21,20.43,80152.55,656,0.78,10900.42,1,1
Femme,Marié,Sans diplôme,Indépendant,64,10.93,33866.92,587,0.81,47089.6,4,0
Femme,Célibataire,Secondaire,Indépendant,30,2.8,88500.93,657,0.79,45967.16,1,1
Femme,Divorcé,Secondaire,CDI,50,32.71,118043.67,528,0.89,24718.68,1,1
Femme,Veuf,Doctorat,Indépendant,57,15.69,64064.97,473,0.05,27158.03,0,1
Homme,Célibataire,Sans diplôme,Indépendant,68,35.39,82801.88,380,0.98,7794.08,3,1
Autre,Veuf,Sans diplôme,CDI,18,28.82,119924.62,561,0.43,42771.78,0,0
Autre,Marié,Secondaire,CDI,65,3.37,54161.28,509,0.19,40121.94,2,1
Homme,Marié,Doctorat,Indépendant,41,30.88,99254.38,461,0.97,22698.0,0,0
Femme,Veuf,Bachelier,CDI,25,32.91,21242.78,774,0.83,26468.93,2,0
Femme,Veuf,Sans diplôme,CDI,19,4.01,11291.02,406,0.93,34671.28,2,1
Homme,Veuf,Secondaire,Sans emploi,52,26.81,116228.15,606,0.52,25951.06,4,1
Homme,Célibataire,Bachelier,CDD,31,8.84,76843.87,805,0.75,17293.57,0,0
Homme,Veuf,Bachelier,Indépendant,48,13.41,50673.68,316,0.52,18386.84,4,0
Autre,Divorcé,Bachelier,Indépendant,39,5.62,60225.05,601,0.54,28279.09,1,1
Femme,Célibataire,Master,Sans emploi,35,1.75,21604.68,728,0.95,49753.9,4,1
Autre,Marié,Bachelier,Indépendant,41,34.3,13129.43,449,0.74,27046.66,0,1
Femme,Veuf,Bachelier,Indépendant,53,37.32,93222.83,731,0.57,7510.88,4,1
Autre,Marié,Secondaire,Indépendant,51,28.87,68946.33,346,0.39,47241.29,3,1
Homme,Divorcé,Doctorat,CDI,24,6.58,108902.31,670,0.16,18768.69,3,1
Autre,Veuf,Master,Indépendant,42,0.04,77279.26,791,0.12,6792.14,3,0
Homme,Marié,Secondaire,Indépendant,52,14.54,61499.43,560,0.3,8252.86,1,0
Femme,Divorcé,Secondaire,CDD,58,21.81,75603.23,633,0.69,12701.06,0,1
Femme,Veuf,Bachelier,Sans emploi,56,16.68,80546.62,626,0.19,33537.04,0,0
Femme,Divorcé,Master,Sans emploi,27,26.7,47121.78,591,0.13,21559.37,3,1
Homme,Veuf,Doctorat,CDI,42,11.13,79380.15,312,0.08,46278.5,3,1
Homme,Divorcé,Doctorat,Indépendant,47,11.6,47326.62,356,0.85,40697.31,4,1
Homme,Marié,Secondaire,Indépendant,23,0.24,109860.69,510,0.24,19437.66,1,0
Homme,Célibataire,Master,Indépendant,66,25.66,34492.94,527,0.2,49375.21,1,1
Homme,Veuf,Secondaire,Indépendant,66,33.84,36811.73,315,0.39,34992.45,4,1
Homme,Veuf,Secondaire,CDI,43,36.65,91415.61,651,0.63,5784.74,3,0
Femme,Célibataire,Doctorat,CDD,22,23.49,95513.82,591,0.59,25838.97,0,0
Homme,Marié,Doctorat,Sans emploi,64,7.67,66625.58,807,0.92,45964.57,4,1
Autre,Veuf,Secondaire,CDD,56,16.41,85317.81,439,0.68,18318.22,1,0
Autre,Célibataire,Doctorat,Indépendant,18,14.31,46869.42,453,0.56,46708.99,3,0
Femme,Célibataire,Doctorat,CDD,32,2.29,35441.18,830,0.71,32691.34,2,0
Femme,Marié,Bachelier,CDD,27,0.56,80667.74,360,0.66,31236.96,4,1
Femme,Célibataire,Bachelier,Sans emploi,54,12.42,67759.75,783,0.77,21462.22,3,1
Autre,Veuf,Sans diplôme,CDD,65,28.37,108094.71,390,0.57,48061.56,0,1
Femme,Marié,Sans diplôme,CDD,68,26.04,63658.07,778,0.81,24377.73,2,0
Femme,Divorcé,Secondaire,CDD,46,30.61,21976.78,368,0.9,33547.38,2,1
Homme,Divorcé,Secondaire,CDI,33,35.01,96992.54,570,0.7,33668.84,0,0
Femme,Veuf,Secondaire,CDI,20,37.95,50724.15,561,0.36,33952.7,0,0
Autre,Célibataire,Secondaire,CDI,54,31.92,37631.85,428,0.28,18771.93,0,0
Femme,Marié,Doctorat,CDD,25,1.62,69428.64,474,0.64,43913.37,4,0
Femme,Divorcé,Sans diplôme,CDI,35,38.74,21561.22,560,0.63,31712.16,4,1
Homme,Marié,Secondaire,CDD,49,12.59,15836.31,512,0.02,22480.05,3,1
Homme,Veuf,Bachelier,CDD,61,35.35,77994.49,683,0.75,19502.35,2,0
Femme,Veuf,Doctorat,CDI,59,5.38,14230.0,411,0.22,10115.81,2,0
Femme,Marié,Sans diplôme,Indépendant,33,26.23,76363.61,314,0.05,32460.91,2,1
Autre,Marié,Doctorat,CDD,46,12.85,38503.14,483,0.15,40217.33,1,0
Femme,Veuf,Master,CDD,60,31.76,116204.34,696,0.66,24010.96,1,1
Autre,Veuf,Secondaire,Sans emploi,49,5.14,66647.35,741,0.52,46204.74,0,0
Autre,Célibataire,Bachelier,CDI,40,20.32,95125.95,815,0.85,10649.1,2,0
Femme,Divorcé,Sans diplôme,Sans emploi,68,39.28,58431.11,501,0.11,26955.02,3,1
Autre,Célibataire,Doctorat,CDD,41,29.02,113467.86,464,0.83,33909.16,3,0
Autre,Marié,Sans diplôme,Sans emploi,22,5.08,12264.95,367,0.65,30632.19,3,1
Homme,Divorcé,Master,CDD,18,26.33,109227.52,433,0.21,45027.24,1,1
Femme,Célibataire,Bachelier,Sans emploi,35,26.86,21096.39,500,0.74,35781.51,1,1
Femme,Divorcé,Doctorat,CDD,24,33.03,12802.36,701,0.74,42126.49,4,1
Femme,Célibataire,Master,CDI,22,11.87,102078.73,662,0.11,34795.67,2,1
Autre,Marié,Bachelier,Sans emploi,29,5.87,66344.25,411,0.27,20490.96,2,1
Femme,Veuf,Secondaire,Sans emploi,50,33.87,10487.49,771,0.64,17266.27,2,1
Femme,Divorcé,Sans diplôme,Indépendant,34,14.59,20798.94,751,0.38,20748.26,4,1
Femme,Marié,Master,Indépendant,20,17.57,24716.94,815,0.77,23368.02,3,1
Autre,Marié,Sans diplôme,CDI,28,38.39,51750.69,806,0.54,42206.34,3,0
